Code,Type,Number,Brand,Model,Cc,Year,Comment,Picture
"611","VCOT","1","NISSAN","PATROL JP260SFQ","0","1994","-","0611-VCOT 01.jpg"
"611","VCOT","2","TOYOTA","HI-LUX 2.4D POLN65","0","1989","-","0611-VCOT 02.jpg"
"611","VE30","1","MAGIRUS DEUTZ","FM 170D127","0","2000","-","0611-VE30 01.jpg"
"610","VTTU","1","MERCEDES-BENZ","1619","13000","1979","-","0610-VTTU 01.jpg"
"611","MOTA","0","-","-","0","2000","-","0611-MOTA.jpg"
"611","VSAT","1","MERCEDES-BENZ","412D/35 SPRINTER","500","1998","-","0611-VSAT 01.jpg"
"611","VSAT","2","IVECO","30E8 DAILY","0","1993","-","0611-VSAT 02.jpg"
"610","VSAT","2","MITSUBISHI","CANTER FE649E4","800","1998","-","0610-VSAT 02.jpg"
"610","VTTF","2","M.A.N.","630L 2 AE","5000","1968","-","0610-VTTF 02.jpg"
"610","VTTR","1","DAF","-","0","2000","-","0610-VTTR 01.jpg"
"610","VLCI","3","LAND ROVER","-","0","2000","-","0610-VLCI 03.jpg"
"610","VRCI","4","MERCEDES-BENZ","1217AK/32","4000","1982","-","0610-VRCI 04.jpg"
"610","VSAT","1","IVECO","30E8 DAILY","0","1988","-","0610-VSAT 01.jpg"
"610","VFCI","8","MERCEDES-BENZ","1225/F976.35 ATEGO","3000","1999","-","0610-VFCI 08.jpg"
"610","VLCI","1","UMM","ALTER 4X4 D LONGO","600","1993","-","0610-VLCI 01.jpg"
"610","VLCI","2","LAND ROVER","109 LONG SERIE III","600","1971","-","0610-VLCI 02.jpg"
"610","VFCI","6","MERCEDES-BENZ","UNIMOG S404","1000","1966","-","0610-VFCI 06.jpg"
"610","ABTD","4","MERCEDES-BENZ","213D/30 CDI SPRINTER","0","2003","-","0610-ABTD 04.jpg"
"610","ABTD","2","FORD","TRANSIT L100 VAN","0","1997","-","0610-ABTD 02.jpg"
"610","VECI","5","MERCEDES-BENZ","312D/35 SPRINTER","0","2000","-","0610-ABSC 05.jpg"
"610","ABTD","1","FORD","TRANSIT L100 VAN","0","1989","-","0610-ABTD 01.jpg"
"609","VUCI","8","MERCEDES-BENZ","1117K/315","3000","1995","-","0609-VUCI 08.jpg"
"610","ABSC","1","FORD","TRANSIT L100 VAN","0","1999","-","0610-ABSC 01.jpg"
"610","ABSC","3","FORD","TRANSIT L100 VAN","0","1996","-","0610-ABSC 03.jpg"
"609","VTTR","2","MAGIRUS DEUTZ","170D17","8000","1978","-","0609-VTTR 02.jpg"
"609","VTTU","1","MERCEDES-BENZ","1828K/39","9200","2002","-","0609-VTTU 01.jpg"
"609","VUCI","5","MERCEDES-BENZ","-","0","2000","-","0609-VUCI 05.jpg"
"609","VCOT","2","MERCEDES-BENZ","416D/35 CDI SPRINTER","350","2001","-","0609-VSAT 02.jpg"
"607","VOPE","1","MERCEDES-BENZ","300D-T123","0","1982","-","0607-VOPE 01.jpg"
"609","VTPG","2","MERCEDES-BENZ","VITO","0","2000","-","0609-VTPG 02.jpg"
"609","VSAT","1","IVECO","30E8 DAILY","0","1993","-","0609-VSAT 01.jpg"
"609","VLCI","1","LAND ROVER","130 2.5 TD5 DEFENDER","830","1999","-","0609-VLCI 01.jpg"
"609","VLCI","2","LAND ROVER","130 2.5 TD5 DEFENDER","830","2002","-","0609-VLCI 02.jpg"
"609","VLCI","12","LAND ROVER","130 2.5 TD5 DEFENDER","800","2003","-","0609-VLCI 12.jpg"
"609","VFCI","11","MERCEDES-BENZ","UNIMOG U424","2500","1979","-","0609-VFCI 11.jpg"
"609","VFCI","10","MERCEDES-BENZ","UNIMOG U424","2500","1979","-","0609-VFCI 10.jpg"
"609","VFCI","7","IVECO","ML95E21 WDB EUROCARG","2200","1999","-","0609-VFCI 07.jpg"
"609","VETA","1","LAND ROVER","88 REGULAR SERIE III","0","1977","-","0609-VETA 01.jpg"
"609","VFCI","6","MERCEDES-BENZ","UNIMOG U406","1800","1979","-","0609-VFCI 06.jpg"
"609","ABTM","3","MERCEDES-BENZ","313D/35 CDI SPRINTER","0","2000","-","0609-ABTM 03.jpg"
"609","VCOT","1","LAND ROVER","90 2.5 TDI DEFENDER","0","1996","-","0609-VCOT 1.jpg"
"609","VECI","9","MERCEDES-BENZ","1828 ATEGO","9200","2000","-","0609-VECI 09.jpg"
"609","ABTD","2","MERCEDES-BENZ","212D/30 SPRINTER","0","1999","-","0609-ABTD 02.jpg"
"609","ABTD","1","MERCEDES-BENZ","212D/30 SPRINTER","0","1999","-","0609-ABTD 01.jpg"
"609","ABSC","5","MERCEDES-BENZ","313D/35 CDI SPRINTER","0","2002","-","0609-ABSC 05.jpg"
"609","ABSC","3","MERCEDES-BENZ","312D/35 SPRINTER","0","1998","-","0609-ABSC 03.jpg"
"609","ABSC","4","FORD","TRANSIT L100 VAN","0","1993","-","0609-ABSC 04.jpg"
"609","ABCI","1","MERCEDES-BENZ","313D/35 CDI SPRINTER","0","2000","-","0609-ABCI 01.jpg"
"609","ABSC","1","MERCEDES-BENZ","313D/35 CDI SPRINTER","0","2003","-","0609-ABSC 01.jpg"
"617","VTTU","1","RENAULT","G290","16000","1989","-","0617-VTTU1.jpg"
"617","VTTR","2","MERCEDES-BENZ","1924","10000","1969","-","0617-VTTR2.jpg"
