Name,Acronym,Sector,Type,Country,Website,Twitter,Donation Phone,Comments
"Autoridade Nacional de Protecção Civil","ANPC","Emergency Management","Government","PT","http://www.prociv.pt",,,
"Guarda Nacional Republicana","GNR","Emergency Management","Government","PT","http://www.gnr.pt",,,
"Cruz Vermelha Portuguesa","CVP","Emergency Management","National NGO","PT","http://www.cruzvermelha.pt",,,
"Insituto Nacional de Emergência Médica de Portugal","INEM","Emergency Management","Health","PT","http://www.inem.pt",,,
"Vila do Conde Fire Department",,"Emergency Management","Fire","PT",,,,
